食物名,地区,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,视黄醇当量,硫胺素(VB1),核黄素(VB2),尼克酸(烟酸VPP),维生素E,钠,钙,铁,类别,抗坏血酸(VC),类,胆固醇
姜,,95,41,87,1.3,0.6,2.7,7.6,28,0.02,0.03,0.8,,14.9,27,1.4,33,4,5,
姜（干）,河北安国,95,273,14.9,9.1,5.7,17.7,46.3,,,0.1,,0.01,9.9,62,,33,,50,
姜（子姜，嫩姜）,重庆,82,19,94.5,0.7,0.6,0.9,2.8,,,0.01,0.3,,1.9,9,0.8,33,2,5,
芥菜头（大头菜水芥）,,83,33,89.6,1.9,0.2,1.4,6,,0.06,0.02,0.6,0.2,65.6,65,0.8,33,34,50,
洋姜（洋生姜，菊芋）,甘肃张掖,100,56,80.8,2.4,,4.3,11.5,,0.01,0.01,1.4,,11.5,23,7.2,33,0,50,
玉兰片,北京,100,43,78,2.6,0.4,11.3,7.3,,0.04,0.07,0.1,1.9,1.9,42,3.6,33,1,50,
芋头（芋艿，毛芋）,,84,79,78.6,2.2,0.2,1,17.1,27,0.06,0.05,0.7,0.45,33.1,36,1,33,6,50,
竹笋,上海,63,19,92.8,2.6,0.2,1.8,1.8,,0.08,0.08,0.6,0.05,0.4,9,0.5,33,5,50,
竹笋（白笋，干）,福建屏南,64,196,10,26,4,43.2,13.9,2,,0.32,0.2,,,31,4.2,33,,25,
竹笋（鞭笋，马鞭笋）,浙江杭州,45,11,90.1,2.6,,6.6,0.1,,0.05,0.09,0.5,,,17,2.5,33,7,50,
竹笋（春笋）,,66,20,91.4,2.4,0.1,2.8,2.3,5,0.05,0.04,0.4,,6,8,2.4,33,5,50,
竹笋（黑笋，干）,福建屏南,76,213,14.4,17.6,2.4,27.2,30.3,,,0.41,1.9,,6.2,30,18.9,33,,25,
竹笋（毛笋，毛竹笋）,,67,21,93.1,2.2,0.2,1.3,2.5,,0.04,0.05,0.3,0.15,5.2,16,0.9,33,9,50,
